Time (msec);1st to 2nd DC Pressure Correction (none);2nd to 3rd FB Pressure Correction (none);2nd to 3rd HLRC Pressure Correction (none);3rd to 4th IC Pressure Correction (none);4WD Pressure Correction (none);4th to 5th FwdB Pressure Correction (none);Line Pressure Correction (none)
0;72;192;80;82;169;190;187
93;72;192;80;82;169;190;187
187;72;192;80;82;169;190;187
280;72;192;80;82;169;190;187
373;72;192;80;82;169;190;187
466;72;192;80;82;169;190;187
559;72;192;80;82;169;190;187
651;72;192;80;82;169;190;187
744;72;192;80;82;169;190;187
838;72;192;80;82;169;190;187
931;72;192;80;82;169;190;187
1023;72;192;80;82;169;190;187
1116;72;192;80;82;169;190;187
1210;72;192;80;82;169;190;187
1302;72;192;80;82;169;190;187
1395;72;192;80;82;169;190;187
1488;72;192;80;82;169;190;187
1582;72;192;80;82;169;190;187
1674;72;192;80;82;169;190;187
1766;72;192;80;82;169;190;187
1859;72;192;80;82;169;190;187
1953;72;192;80;82;169;190;187
2048;72;192;80;82;169;190;187
2140;72;192;80;82;169;190;187
2233;72;192;80;82;169;190;187
2325;72;192;80;82;169;190;187
2418;72;192;80;82;169;190;187
2510;72;192;80;82;169;190;187
2602;72;192;80;82;169;190;187
2695;72;192;80;82;169;190;187
2788;72;192;80;82;169;190;187
2881;72;192;80;82;169;190;187
2974;72;192;80;82;169;190;187
3069;72;192;80;82;169;190;187
3163;72;192;80;82;169;190;187
3255;72;192;80;82;169;190;187
3348;72;192;80;82;169;190;187
3442;72;192;80;82;169;190;187
3536;72;192;80;82;169;190;187
3629;72;192;80;82;169;190;187
3722;72;192;80;82;169;190;187
3815;72;192;80;82;169;190;187
3908;72;192;80;82;169;190;187
