Time (msec);1st to 2nd DC Pressure Correction (none);2nd to 3rd FB Pressure Correction (none);3rd to 4th IC Pressure Correction (none);2nd to 3rd HLRC Pressure Correction (none);4WD Pressure Correction (none);4th to 5th FwdB Pressure Correction (none);Line Pressure Correction (none)
0;75;195;81;75;170;184;189
92;75;195;81;75;170;184;189
185;75;195;81;75;170;184;189
277;75;195;81;75;170;184;189
370;75;195;81;75;170;184;189
464;75;195;81;75;170;184;189
558;75;195;81;75;170;184;189
651;75;195;81;75;170;184;189
745;75;195;81;75;170;184;189
838;75;195;81;75;170;184;189
931;75;195;81;75;170;184;189
1024;75;195;81;75;170;184;189
1118;75;195;81;75;170;184;189
1211;75;195;81;75;170;184;189
1306;75;195;81;75;170;184;189
1399;75;195;81;75;170;184;189
1492;75;195;81;75;170;184;189
1585;75;195;81;75;170;184;189
1678;75;195;81;75;170;184;189
1771;75;195;81;75;170;184;189
1864;75;195;81;75;170;184;189
1956;75;195;81;75;170;184;189
2050;75;195;81;75;170;184;189
2142;75;195;81;75;170;184;189
2236;75;195;81;75;170;184;189
2330;75;195;81;75;170;184;189
2423;75;195;81;75;170;184;189
2517;75;195;81;75;170;184;189
2611;75;195;81;75;170;184;189
2704;75;195;81;75;170;184;189
2796;75;195;81;75;170;184;189
2889;75;195;81;75;170;184;189
2983;75;195;81;75;170;184;189
3078;75;195;81;75;170;184;189
3171;75;195;81;75;170;184;189
3263;75;195;81;75;170;184;189
3357;75;195;81;75;170;184;189
3454;75;195;81;75;170;184;189
3546;75;195;81;75;170;184;189
3640;75;195;81;75;170;184;189
3735;75;195;81;75;170;184;189
3828;75;195;81;75;170;184;189
3921;75;195;81;75;170;184;189
4013;75;195;81;75;170;184;189
4105;75;195;81;75;170;184;189
4200;75;195;81;75;170;184;189
4292;75;195;81;75;170;184;189
4386;75;195;81;75;170;184;189
4479;75;195;81;75;170;184;189
4572;75;195;81;75;170;184;189
4664;75;195;81;75;170;184;189
4757;75;195;81;75;170;184;189
4852;75;195;81;75;170;184;189
