Time (msec);Accelerator Pedal Angle (%);Engine Speed (rpm);SI-Drive Mode (index);AT Turbine Speed 1 (rpm);AT Turbine Speed 2 (rpm);ATF Temperature (C);AWD Solenoid Valve Pressure (kPa);D/C Solenoid Valve Pressure (kPa);F/B Solenoid Valve Pressure (kPa);Front Wheel Speed (km/h);Fwd/B Solenoid Valve Target Pressure (kPa);Gear Position (gear);H and LR/C Solenoid Valve Pressure (kPa);I/C Solenoid Valve Pressure (kPa);L/U Solenoid Valve Pressure (kPa);P/L Solenoid Valve Pressure (kPa);Rear Wheel Speed (km/h);Turbine Revolution Speed (rpm)
0;0,00;765;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
189;0,00;767;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
392;0,00;770;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
580;0,00;774;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
783;0,00;763;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
971;0,00;754;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
1164;0,00;760;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
1349;0,00;762;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
1552;0,00;708;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
1740;0,00;709;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
1943;0,00;753;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
2131;0,00;761;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
2318;0,00;760;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
2521;0,00;765;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
2709;0,00;769;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
2913;0,00;759;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
3101;0,00;708;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
3304;0,00;757;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
3498;0,00;764;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
3692;0,00;773;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
3888;0,00;758;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
4081;0,00;761;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
4273;0,00;761;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
4467;0,00;746;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
4661;0,00;767;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
4854;0,00;759;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
5047;0,00;763;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
5240;0,00;757;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
5434;0,00;828;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
5628;0,00;705;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
5823;0,00;761;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
6017;0,00;758;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
6210;0,00;761;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
6402;0,00;753;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;736
6598;0,00;756;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
6791;0,00;746;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
6987;0,00;743;1;0;480;88;0;0;890;0;0;1;1420;0;0;350;0;704
7180;0,00;747;1;0;480;88;0;0;890;0;0;1;1420;0;0;2520;1;704
7374;0,00;723;1;0;448;88;0;0;890;0;90;1;20;0;0;2400;0;672
7567;0,00;708;1;0;448;88;0;0;890;0;90;1;20;0;0;2400;0;672
